Mfr	Part	Description	Unit	StandardPack	Price	List	BarCode	Mfr.Part.Unit
VIL	001-960	CS(6)36"X52.5"PREFILTER R2/3PLY	CS	1	132.36	191.00		VIL.001-960.CS
VIL	001-961	PREFILTER PAD R2 - 30 X 52.5	EA	1	110.19	159.00		VIL.001-961.EA
VIL	002-900-23X133	23"X133" CUSTOM CUT PREFILTER P15/150 S	EA	1	35.06	55.66		VIL.002-900-23X133.EA
VIL	002-900-29/5X194	29.5"X194" CUSTOM CUT PREFILTER P15/150 	EA	1	65.60	104.13		VIL.002-900-29/5X194.EA
VIL	010-010	CS(24)16"X20"PREFILTER BURNER R2/4PLY	CS	1	206.51	298.00		VIL.010-010.CS
VIL	010-011	CS(30)19"X19" PREFILTER LH1000	CS	1	698.74	1109.12		VIL.010-011.CS
VIL	010-020	CS(24)20"X20"PREFILTER BURNER R2/4PLY	CS	1	180.87	261.00		VIL.010-020.CS
VIL	010-022	CS(6)20"X72"PREFILTER LINKED R2/4PLY	CS	1	225.92	326.00		VIL.010-022.CS
VIL	010-030	CS(18)20"X25"PREFILTER BURNER R2/4PLY	CS	1	173.25	250.00		VIL.010-030.CS
VIL	010-060	CS(6)24"X72"PREFILTER LINKED R2/4PLY	CS	1	210.67	304.00		VIL.010-060.CS
VIL	010-061	CS(6)25"X72"PREFILTER LINKED R2/4PLY	CS	1	252.25	364.00		VIL.010-061.CS
VIL	010-090	CS(10)20"X50"PREFILTER LINKD R2/4PLY	CS	1	172.56	249.00		VIL.010-090.CS
VIL	100-010	(OS)CS(20)20"X20"PREM INTAKE PANEL R1	CS	1	130.28	188.00	000224838785	VIL.100-010.CS
VIL	100-011	CS(20)20"X24"PREM INTAKE PANEL R1	CS	1	164.24	237.00		VIL.100-011.CS
VIL	100-020	(OS)CS(20)20"X25"PREM INTAKE PANEL R1	CS	1	152.46	220.00	000202051787	VIL.100-020.CS
VIL	100-021	CS(10)20"X46"PREM INTAKE PANEL R1	CS	1	246.02	355.00		VIL.100-021.CS
VIL	100-030	(OS)CS(12)20"X48"INTAKE PANEL R1	CS	1	201.66	291.00	000225258785	VIL.100-030.CS
VIL	100-031	CS(12)20"X48"SOLID INTAKE PANEL R1	CS	1	313.24	452.00		VIL.100-031.CS
VIL	100-040	(OS)CS(10)20"X50"PREM INTAKE PANEL R1	CS	1	209.29	302.00	000102179785	VIL.100-040.CS
VIL	100-050	CS(20)24"X24"PREM INTAKE PANEL R1	CS	1	198.20	286.00	000046634788	VIL.100-050.CS
VIL	100-051	CS(10)24"X48"SOLID INTAKE PANEL R1	CS	1	295.91	427.00		VIL.100-051.CS
VIL	100-060	CS(20)16"X20"PREM INTAKE PANEL R1	CS	1	142.07	205.00		VIL.100-060.CS
VIL	100-070	(OS)CS(20)16"X25"PREM INTAKE PANEL R1	CS	1	158.70	229.00		VIL.100-070.CS
VIL	100-100	CS(2)24"X108"PROGRESSIVE 1PLY PAD R1	CS	1	80.39	116.00		VIL.100-100.CS
VIL	100-110	CS(2)51"X108" 1PLY PAD R1	CS	1	148.30	214.00		VIL.100-110.CS
VIL	101-900-18X18	18"X18"CUSTOM CUT INTAKE R1/1PLY	EA	1	3.67	5.83		VIL.101-900-18X18.EA
VIL	101-900-23X133	23"X133" CUSTOM CUT INTAKE R1/1PLY	EA	1	34.66	55.02		VIL.101-900-23X133.EA
VIL	101-900-29X52	29" X 52" CUSTOM CUT INTAKE R1/1PLY	EA	1	15.56	24.70		VIL.101-900-29X52.EA
VIL	101-900-30X194	29-1/2" X 194" CUSTOM CUT INTAKE R1/1PLY	EA	1	65.95	104.68		VIL.101-900-30X194.EA
VIL	101-900-36X48	36" X 48" CUSTOM CUT INTAKE R1/1PLY	EA	1	19.21	30.49		VIL.101-900-36X48.EA
VIL	101-900-42X144	42"X144" CUSTOM CUT INTAKE R1/1PLY	EA	1	68.54	108.78		VIL.101-900-42X144.EA
VIL	101-900-48X96	48"X96" CUSTOM CUT INTAKE R1/1PLY	EA	1	52.22	82.88		VIL.101-900-48X96.EA
VIL	101-900-50X82	50"X82"CUSTOM CUT INTAKE R1/1PLY	EA	1	46.46	73.74		VIL.101-900-50X82.EA
VIL	101-900-51X83	51"X83"CUSTOM CUT INTAKE R1/1PLY	EA	1	47.96	76.14		VIL.101-900-51X83.EA
VIL	101-900-51X108	CS(2)51"X108"CUSTOM CUT INTAKE R1/1PLY	CS	1	124.82	198.14		VIL.101-900-51X108.CS
VIL	101-900-60X100	60"X100"CUSTOM CUT INTAKE R1/1PLY	EA	1	67.99	107.92		VIL.101-900-60X100.EA
VIL	102-010	CS(20)20"X20"PREM INTAKE W/SCRIM R1	CS	1	173.94	251.00	000079504785	VIL.102-010.CS
VIL	102-020	(20)20X25 PREM INTAKE W/SCRIM R1	CS	1	201.66	291.00		VIL.102-020.CS
VIL	102-021	(10) INTAKE PANEL R1 W/SCRIM - 20"X46"	CS	1	293.14	423.00		VIL.102-021.CS
VIL	102-030	CS(12)20"X48"PREM INTAKE W/SCRIM R1	CS	1	225.92	326.00		VIL.102-030.CS
VIL	102-050	CS(20)24"X24"PREM INTAKE W/SCRIM R1	CS	1	227.30	328.00		VIL.102-050.CS
VIL	102-051	CS(10)24"X48"PREM INTAKE W/SCRIM R1	CS	1	248.72	394.80		VIL.102-051.CS
VIL	103-900	CUSTOM CUT INTAKE R1/1PLY SCRIM	CS	1	2.12	3.07		VIL.103-900.CS
VIL	103-900-39X696	39"X696" CUSTOM CUT INTAKE R1 W/SCRIM	EA	1	358.64	569.27		VIL.103-900-39X696.EA
VIL	103-900-40X79	40"X79" CUSTOM CUT INTAKE R1/1PLY	EA	1	41.75	66.27		VIL.103-900-40X79.EA
VIL	103-900-51X108	51"X108"PROGRESSIVE 1PLY W/SCRIM	EA	1	72.77	115.52		VIL.103-900-51X108.EA
